"Reference","Value","Datasheet","Footprint","Qty","DNP","DigiKey_Part_Number"
"3V1","TP2","~","TestPoint:TestPoint_Pad_1.0x1.0mm","1","",""
"5V1","TP1","~","TestPoint:TestPoint_Pad_1.0x1.0mm","1","",""
"C1","0.1uF, 560vdc","~","smart2-1.1-Library:CAP_R46KI310040H1M_KEM","1","",""
"C2","220uF,16V","~","smart2-1.1-Library:U2-K_NCH-M","1","",""
"C3,C4","1uF","~","Capacitor_SMD:C_0603_1608Metric","2","",""
"C5","0.5uf","~","Resistor_SMD:R_0805_2012Metric","1","",""
"C6","80nf","~","","1","",""
"D1,D2,D3,D4","1N4007","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","4","",""
"D6","BT136-600E_127","","Library:BT136 -TRIAC","1","",""
"F1","250Vac, 1A","~","Fuse:Fuse_Littelfuse_395Series","1","",""
"FL1","Choke_Coilcraft_0603USB-142","https://www.coilcraft.com/pdfs/0603usb.pdf","Inductor_SMD:L_CommonModeChoke_Coilcraft_0603USB","1","",""
"J1,J2","Screw_Terminal_01x02","~","TerminalBlock_Altech:Altech_AK100_1x02_P5.00mm","2","",""
"J3","Conn_01x02_Pin","~","smart2-1.1-Library:CONN_61300211121_WRE","1","",""
"L3","Choke_Wurth_WE-CNSW_744232090","https://www.we-online.com/components/products/datasheet/744232090.pdf","Inductor_SMD:L_CommonMode_Wurth_WE-CNSW-1206","1","",""
"PS1","HLK-PM01","https://h.hlktech.com/download/ACDC%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%973W%E7%B3%BB%E5%88%97/1/%E6%B5%B7%E5%87%8C%E7%A7%913W%E7%B3%BB%E5%88%97%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%97%E8%A7%84%E6%A0%BC%E4%B9%A6V2.8.pdf","Converter_ACDC:Converter_ACDC_Hi-Link_HLK-PMxx","1","",""
"Q2","BC547B","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs","Library:BC547B","1","",""
"R1,R2","7.5k ohms","~","Resistor_SMD:R_0805_2012Metric","2","",""
"R3","68ohms","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","1","",""
"R4","10kohm","~","","1","",""
"R5","15 ohm","~","","1","",""
"R6","1K ohm","~","","1","",""
"R7","75 ohm","~","","1","",""
"R8","360 ohm","~","","1","",""
"R9","470ohm","~","","1","",""
"R10","12 ohm","~","","1","",""
"RV1","910V 3.5kA","~","smart2-1.1-Library:varistor","1","",""
"U1","PC817","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf","Package_DIP:DIP-4_W7.62mm","1","",""
"U2","ESP32-PICO-D4","https://www.espressif.com/sites/default/files/documentation/esp32-pico-d4_datasheet_en.pdf","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm","1","",""
"U3","MOC3021","https://www.onsemi.com/pub/Collateral/MOC3023M-D.PDF","Library:MOC3021","1","",""
"U4","Reg linear 3.3v","","Library:IC REG LINEAR 3.3V 1A SOT223-4","1","","."
